PI,TIME,PROC_NUM,N,SCALING,TEST_CASE_NUM
3.142884,0.014451,7,1000000,strong,11
3.142423,0.034900,7,1000000,weak,11
3.138832,0.012356,7,1000000,strong,12
3.141946,0.035583,7,1000000,weak,12
3.142964,0.004975,7,1000000,strong,13
3.142083,0.034453,7,1000000,weak,13
3.140752,0.004984,7,1000000,strong,14
3.140574,0.042062,7,1000000,weak,14
3.140264,0.012149,7,1000000,strong,15
3.143131,0.035062,7,1000000,weak,15
3.142904,0.005010,8,1000000,strong,1
3.142364,0.034453,8,1000000,weak,1
3.140860,0.004390,8,1000000,strong,2
3.141335,0.034409,8,1000000,weak,2
3.142448,0.005026,8,1000000,strong,3
3.141293,0.042361,8,1000000,weak,3
3.143120,0.013363,8,1000000,strong,4
3.141835,0.035617,8,1000000,weak,4
3.142360,0.004341,8,1000000,strong,5
3.141783,0.034451,8,1000000,weak,5
3.142488,0.011318,8,1000000,strong,6
3.141152,0.034432,8,1000000,weak,6
3.142188,0.004333,8,1000000,strong,7
3.141118,0.034432,8,1000000,weak,7
3.145252,0.012349,8,1000000,strong,8
3.141308,0.034678,8,1000000,weak,8
3.145340,0.004334,8,1000000,strong,9
3.141829,0.041084,8,1000000,weak,9
3.143152,0.004353,8,1000000,strong,10
3.141409,0.034494,8,1000000,weak,10
3.141576,0.004349,8,1000000,strong,11
3.141242,0.034467,8,1000000,weak,11
3.142624,0.004370,8,1000000,strong,12
3.141193,0.034457,8,1000000,weak,12
3.142552,0.004489,8,1000000,strong,13
3.141726,0.042982,8,1000000,weak,13
3.140936,0.004853,8,1000000,strong,14
3.141814,0.034426,8,1000000,weak,14
3.138952,0.004374,8,1000000,strong,15
3.141823,0.034468,8,1000000,weak,15
3.139736,0.010223,9,1000000,strong,1
3.141452,0.034456,9,1000000,weak,1
3.140700,0.004344,9,1000000,strong,2
3.142026,0.034481,9,1000000,weak,2
3.143104,0.009684,9,1000000,strong,3
3.141782,0.040003,9,1000000,weak,3
3.144156,0.003964,9,1000000,strong,4
3.141144,0.034442,9,1000000,weak,4
3.142492,0.003941,9,1000000,strong,5
3.141475,0.034467,9,1000000,weak,5
3.142196,0.003863,9,1000000,strong,6
3.141014,0.034440,9,1000000,weak,6
3.142452,0.003865,9,1000000,strong,7
3.142314,0.034866,9,1000000,weak,7
3.141692,0.004287,9,1000000,strong,8
3.142041,0.042272,9,1000000,weak,8
3.140512,0.003896,9,1000000,strong,9
3.141777,0.035834,9,1000000,weak,9
3.140592,0.003873,9,1000000,strong,10
3.142175,0.034520,9,1000000,weak,10
3.141124,0.003910,9,1000000,strong,11
3.142203,0.035470,9,1000000,weak,11
3.141900,0.005930,9,1000000,strong,12
3.141843,0.034462,9,1000000,weak,12
3.139672,0.003880,9,1000000,strong,13
3.141230,0.035265,9,1000000,weak,13
3.140836,0.003872,9,1000000,strong,14
3.141977,0.034444,9,1000000,weak,14
3.143496,0.003854,9,1000000,strong,15
3.142091,0.035612,9,1000000,weak,15
3.142320,0.003482,10,1000000,strong,1
3.142148,0.034642,10,1000000,weak,1
3.142256,0.004005,10,1000000,strong,2
3.141965,0.034435,10,1000000,weak,2
3.141896,0.003476,10,1000000,strong,3
3.141807,0.034705,10,1000000,weak,3
3.140576,0.003475,10,1000000,strong,4
3.141468,0.034849,10,1000000,weak,4
3.142832,0.004259,10,1000000,strong,5
3.141312,0.035437,10,1000000,weak,5
3.143812,0.003507,10,1000000,strong,6
3.141609,0.035288,10,1000000,weak,6
3.142236,0.003470,10,1000000,strong,7
3.141824,0.044284,10,1000000,weak,7
3.139344,0.003486,10,1000000,strong,8
3.141142,0.037358,10,1000000,weak,8
3.139364,0.003784,10,1000000,strong,9
3.141366,0.036363,10,1000000,weak,9
3.138520,0.003478,10,1000000,strong,10
3.142644,0.034440,10,1000000,weak,10
3.140676,0.003606,10,1000000,strong,11
3.141456,0.034460,10,1000000,weak,11
3.142992,0.003480,10,1000000,strong,12
3.140718,0.035843,10,1000000,weak,12
3.141904,0.003477,10,1000000,strong,13
3.141698,0.034430,10,1000000,weak,13
3.141244,0.003481,10,1000000,strong,14
3.141600,0.034465,10,1000000,weak,14
3.140972,0.003509,10,1000000,strong,15
3.140728,0.034843,10,1000000,weak,15
3.140168,0.003203,11,1000000,strong,1
3.141029,0.034725,11,1000000,weak,1
3.139612,0.003164,11,1000000,strong,2
3.141308,0.039990,11,1000000,weak,2
3.140256,0.003169,11,1000000,strong,3
3.141544,0.034474,11,1000000,weak,3
3.140996,0.003190,11,1000000,strong,4
3.142291,0.034464,11,1000000,weak,4
3.142564,0.003178,11,1000000,strong,5
3.142762,0.034415,11,1000000,weak,5
3.141212,0.003873,11,1000000,strong,6
3.142341,0.035254,11,1000000,weak,6
3.140936,0.003168,11,1000000,strong,7
3.142198,0.034437,11,1000000,weak,7
3.141596,0.003662,11,1000000,strong,8
3.141960,0.034448,11,1000000,weak,8
3.140896,0.003188,11,1000000,strong,9
3.140964,0.034428,11,1000000,weak,9
3.140120,0.003184,11,1000000,strong,10
3.140778,0.037012,11,1000000,weak,10
3.140868,0.004219,11,1000000,strong,11
3.141251,0.034677,11,1000000,weak,11
3.141520,0.003173,11,1000000,strong,12
3.141760,0.034632,11,1000000,weak,12
3.144968,0.003273,11,1000000,strong,13
3.142411,0.039887,11,1000000,weak,13
3.141968,0.003184,11,1000000,strong,14
3.142290,0.034439,11,1000000,weak,14
3.139592,0.003161,11,1000000,strong,15
3.141818,0.034454,11,1000000,weak,15
3.141084,0.002923,12,1000000,strong,1
3.141598,0.035193,12,1000000,weak,1
3.142388,0.002909,12,1000000,strong,2
3.141802,0.034694,12,1000000,weak,2
3.142748,0.002944,12,1000000,strong,3
3.141947,0.034933,12,1000000,weak,3
3.141384,0.003107,12,1000000,strong,4
3.141265,0.034474,12,1000000,weak,4
3.139668,0.002996,12,1000000,strong,5
3.141371,0.034956,12,1000000,weak,5
3.140668,0.005974,12,1000000,strong,6
3.141440,0.034442,12,1000000,weak,6
3.141168,0.002933,12,1000000,strong,7
3.141257,0.047851,12,1000000,weak,7
3.142072,0.002931,12,1000000,strong,8
3.141834,0.035568,12,1000000,weak,8
3.144460,0.003035,12,1000000,strong,9
3.142121,0.035870,12,1000000,weak,9
3.145164,0.002950,12,1000000,strong,10
3.141466,0.035300,12,1000000,weak,10
3.144324,0.005456,12,1000000,strong,11
3.141300,0.035997,12,1000000,weak,11
3.142432,0.002927,12,1000000,strong,12
3.140744,0.034841,12,1000000,weak,12
3.140892,0.008335,12,1000000,strong,13
3.141235,0.034487,12,1000000,weak,13
3.138992,0.002913,12,1000000,strong,14
3.140989,0.034654,12,1000000,weak,14
3.141024,0.003728,12,1000000,strong,15
3.140802,0.034752,12,1000000,weak,15
3.141528,3.439134,1,100000000,strong,1
3.141218,3.439746,1,100000000,weak,1
3.141307,3.439963,1,100000000,strong,2
3.141800,3.439702,1,100000000,weak,2
3.141278,3.439910,1,100000000,strong,3
3.141368,3.439949,1,100000000,weak,3
3.141770,3.439857,1,100000000,strong,4
3.141745,3.439484,1,100000000,weak,4
3.141450,3.440048,1,100000000,strong,5
3.141551,3.440146,1,100000000,weak,5
3.141846,3.439991,1,100000000,strong,6
3.141603,3.439872,1,100000000,weak,6
3.141327,3.439909,1,100000000,strong,7
3.141876,3.439709,1,100000000,weak,7
3.141687,3.439752,1,100000000,strong,8
3.141487,3.439343,1,100000000,weak,8
3.141643,3.439694,1,100000000,strong,9
3.141522,3.440086,1,100000000,weak,9
3.141675,3.438540,1,100000000,strong,10
3.141390,3.440385,1,100000000,weak,10
3.141575,3.438982,1,100000000,strong,11
3.141467,3.439543,1,100000000,weak,11
3.141501,3.439400,1,100000000,strong,12
3.142020,3.439245,1,100000000,weak,12
3.141680,3.439729,1,100000000,strong,13
3.141610,3.442606,1,100000000,weak,13
3.141645,3.437673,1,100000000,strong,14
3.141562,3.437096,1,100000000,weak,14
3.141735,3.438837,1,100000000,strong,15
3.141375,3.439019,1,100000000,weak,15
3.141375,1.719900,2,100000000,strong,1
3.141695,3.438601,2,100000000,weak,1
3.141640,1.720550,2,100000000,strong,2
3.141603,3.439461,2,100000000,weak,2
3.141546,1.718591,2,100000000,strong,3
3.141544,3.437512,2,100000000,weak,3
3.141534,1.718280,2,100000000,strong,4
3.141561,3.436551,2,100000000,weak,4
3.141785,1.718247,2,100000000,strong,5
3.141463,3.436635,2,100000000,weak,5
3.141520,1.718411,2,100000000,strong,6
3.141553,3.446331,2,100000000,weak,6
3.141872,1.720000,2,100000000,strong,7
3.141495,3.438785,2,100000000,weak,7
3.141725,1.777647,2,100000000,strong,8
3.141601,3.438301,2,100000000,weak,8
3.141649,1.720129,2,100000000,strong,9
3.141663,3.438301,2,100000000,weak,9
3.141586,1.719187,2,100000000,strong,10
3.141514,3.555816,2,100000000,weak,10
3.141379,1.719299,2,100000000,strong,11
3.141689,3.446641,2,100000000,weak,11
3.141891,1.763826,2,100000000,strong,12
3.141546,3.437455,2,100000000,weak,12
3.141698,1.726223,2,100000000,strong,13
3.141560,3.436812,2,100000000,weak,13
3.141236,1.718476,2,100000000,strong,14
3.141543,3.438722,2,100000000,weak,14
3.141377,1.719550,2,100000000,strong,15
3.141590,3.446971,2,100000000,weak,15
3.141325,1.147121,3,100000000,strong,1
3.141727,3.439037,3,100000000,weak,1
3.141403,1.149339,3,100000000,strong,2
3.141742,3.983397,3,100000000,weak,2
3.141287,1.147044,3,100000000,strong,3
3.141818,3.439879,3,100000000,weak,3
3.141800,1.147837,3,100000000,strong,4
3.141608,3.461274,3,100000000,weak,4
3.141470,1.146285,3,100000000,strong,5
3.141582,3.446682,3,100000000,weak,5
3.141816,1.146947,3,100000000,strong,6
3.141546,3.446735,3,100000000,weak,6
3.142090,1.154285,3,100000000,strong,7
3.141659,3.446813,3,100000000,weak,7
3.141798,1.147233,3,100000000,strong,8
3.141644,3.556188,3,100000000,weak,8
3.141404,1.146281,3,100000000,strong,9
3.141664,3.438961,3,100000000,weak,9
3.141811,1.149499,3,100000000,strong,10
3.141622,3.438972,3,100000000,weak,10
3.141703,1.146376,3,100000000,strong,11
3.141460,3.439661,3,100000000,weak,11
3.141640,1.147323,3,100000000,strong,12
3.141605,3.447017,3,100000000,weak,12
3.141198,1.185365,3,100000000,strong,13
3.141445,3.439923,3,100000000,weak,13
3.141256,1.146747,3,100000000,strong,14
3.141577,3.438758,3,100000000,weak,14
3.141514,1.146556,3,100000000,strong,15
3.141473,3.439562,3,100000000,weak,15
3.141580,0.860619,4,100000000,strong,1
3.141632,3.447172,4,100000000,weak,1
3.141519,0.860868,4,100000000,strong,2
3.141647,3.439673,4,100000000,weak,2
3.141852,0.860431,4,100000000,strong,3
3.141611,3.439235,4,100000000,weak,3
3.141490,0.860191,4,100000000,strong,4
3.141496,3.444045,4,100000000,weak,4
3.141590,0.860665,4,100000000,strong,5
3.141555,3.439777,4,100000000,weak,5
3.141465,0.860510,4,100000000,strong,6
3.141512,3.440079,4,100000000,weak,6
3.141488,0.859717,4,100000000,strong,7
3.141560,3.444365,4,100000000,weak,7
3.141678,0.860576,4,100000000,strong,8
3.141563,3.556304,4,100000000,weak,8
3.141225,0.867754,4,100000000,strong,9
3.141535,3.439259,4,100000000,weak,9
3.141792,0.995996,4,100000000,strong,10
3.141559,3.440351,4,100000000,weak,10
3.141387,0.860667,4,100000000,strong,11
3.141515,3.438808,4,100000000,weak,11
3.141550,0.866792,4,100000000,strong,12
3.141602,3.436896,4,100000000,weak,12
3.141295,0.859380,4,100000000,strong,13
3.141567,3.436694,4,100000000,weak,13
3.141479,0.859250,4,100000000,strong,14
3.141707,3.437719,4,100000000,weak,14
3.141317,0.859316,4,100000000,strong,15
3.141530,3.438791,4,100000000,weak,15
3.141408,0.691049,5,100000000,strong,1
3.141493,3.439724,5,100000000,weak,1
3.141765,0.687929,5,100000000,strong,2
3.141668,3.446164,5,100000000,weak,2
3.141536,0.695933,5,100000000,strong,3
3.141491,3.438845,5,100000000,weak,3
3.141933,0.688040,5,100000000,strong,4
3.141395,3.445531,5,100000000,weak,4
3.141483,0.687987,5,100000000,strong,5
3.141631,3.439203,5,100000000,weak,5
3.141629,0.696009,5,100000000,strong,6
3.141593,3.465645,5,100000000,weak,6
3.141929,0.687590,5,100000000,strong,7
3.141459,3.526137,5,100000000,weak,7
3.141489,0.688308,5,100000000,strong,8
3.141575,3.525946,5,100000000,weak,8
3.141305,0.687498,5,100000000,strong,9
3.141500,3.447102,5,100000000,weak,9
3.141449,0.695795,5,100000000,strong,10
3.141633,3.440296,5,100000000,weak,10
3.141273,0.688504,5,100000000,strong,11
3.141513,3.447310,5,100000000,weak,11
3.141750,0.696257,5,100000000,strong,12
3.141668,3.440312,5,100000000,weak,12
3.141584,0.688287,5,100000000,strong,13
3.141663,3.438958,5,100000000,weak,13
3.141699,0.688432,5,100000000,strong,14
3.141487,3.439299,5,100000000,weak,14
3.141544,0.688506,5,100000000,strong,15
3.141552,3.439760,5,100000000,weak,15
3.141639,0.573984,6,100000000,strong,1
3.141595,3.439881,6,100000000,weak,1
3.141384,0.674880,6,100000000,strong,2
3.141619,3.439236,6,100000000,weak,2
3.141568,0.573617,6,100000000,strong,3
3.141564,3.449539,6,100000000,weak,3
3.141500,0.580928,6,100000000,strong,4
3.141632,3.439945,6,100000000,weak,4
3.141879,0.582553,6,100000000,strong,5
3.141664,3.467785,6,100000000,weak,5
3.141514,0.573806,6,100000000,strong,6
3.141578,3.439955,6,100000000,weak,6
3.141466,0.582109,6,100000000,strong,7
3.141611,3.467748,6,100000000,weak,7
3.141955,0.573360,6,100000000,strong,8
3.141618,3.439670,6,100000000,weak,8
3.141704,0.573963,6,100000000,strong,9
3.141633,3.439754,6,100000000,weak,9
3.141754,0.573841,6,100000000,strong,10
3.141646,3.556446,6,100000000,weak,10
3.141463,0.574127,6,100000000,strong,11
3.141680,3.447204,6,100000000,weak,11
3.141473,0.574077,6,100000000,strong,12
3.141533,3.439530,6,100000000,weak,12
3.141541,0.573377,6,100000000,strong,13
3.141626,3.448521,6,100000000,weak,13
3.141645,0.573464,6,100000000,strong,14
3.141703,3.449208,6,100000000,weak,14
3.141483,0.574126,6,100000000,strong,15
3.141565,3.443718,6,100000000,weak,15
3.141610,0.492054,7,100000000,strong,1
3.141583,3.437713,7,100000000,weak,1
3.141644,0.491927,7,100000000,strong,2
3.141653,3.440266,7,100000000,weak,2
3.141822,0.500984,7,100000000,strong,3
3.141629,3.446499,7,100000000,weak,3
3.141225,0.492135,7,100000000,strong,4
3.141652,3.439691,7,100000000,weak,4
3.141832,0.499982,7,100000000,strong,5
3.141568,3.437903,7,100000000,weak,5
3.141591,0.495786,7,100000000,strong,6
3.141592,3.494731,7,100000000,weak,6
3.141688,0.499062,7,100000000,strong,7
3.141786,3.438061,7,100000000,weak,7
3.141636,0.491924,7,100000000,strong,8
3.141617,3.439654,7,100000000,weak,8
3.141459,0.502490,7,100000000,strong,9
3.141459,3.460238,7,100000000,weak,9
3.141529,0.501134,7,100000000,strong,10
3.141589,3.439937,7,100000000,weak,10
3.141640,0.492115,7,100000000,strong,11
3.141590,3.449753,7,100000000,weak,11
3.141786,0.578951,7,100000000,strong,12
3.141571,3.439321,7,100000000,weak,12
3.141442,0.492175,7,100000000,strong,13
3.141615,3.556151,7,100000000,weak,13
3.141268,0.496691,7,100000000,strong,14
3.141546,3.981271,7,100000000,weak,14
3.141654,0.495084,7,100000000,strong,15
3.141629,3.437354,7,100000000,weak,15
3.141589,0.444119,8,100000000,strong,1
3.141610,3.438093,8,100000000,weak,1
3.141440,0.500911,8,100000000,strong,2
3.141630,3.984170,8,100000000,weak,2
3.141589,0.430961,8,100000000,strong,3
3.141546,3.440542,8,100000000,weak,3
3.141363,0.430783,8,100000000,strong,4
3.141616,3.556764,8,100000000,weak,4
3.141329,0.433575,8,100000000,strong,5
3.141546,3.439496,8,100000000,weak,5
3.141448,0.430319,8,100000000,strong,6
3.141567,3.447406,8,100000000,weak,6
3.141629,0.430660,8,100000000,strong,7
3.141652,3.459771,8,100000000,weak,7
3.141675,0.437605,8,100000000,strong,8
3.141650,3.436932,8,100000000,weak,8
3.141654,0.432823,8,100000000,strong,9
3.141572,3.436676,8,100000000,weak,9
3.141627,0.430655,8,100000000,strong,10
3.141635,3.440373,8,100000000,weak,10
3.141477,0.430877,8,100000000,strong,11
3.141584,3.440072,8,100000000,weak,11
3.141503,0.431902,8,100000000,strong,12
3.141517,3.440591,8,100000000,weak,12
3.141667,0.434226,8,100000000,strong,13
3.141582,3.440315,8,100000000,weak,13
3.141514,0.436295,8,100000000,strong,14
3.141602,3.440795,8,100000000,weak,14
3.141491,0.430347,8,100000000,strong,15
3.141601,3.450717,8,100000000,weak,15
3.141825,0.382659,9,100000000,strong,1
3.141680,3.442401,9,100000000,weak,1
