TIME,ARR_SIZE,SCHEDULE_TYPE,CHUNK_SIZE,TEST_CASE_NUM
0.003362,4000000,guided,1,6
0.003857,4000000,guided,1,7
0.003849,4000000,guided,1,8
0.003872,4000000,guided,1,9
0.003865,4000000,guided,1,10
0.003872,4000000,guided,1,11
0.003831,4000000,guided,1,12
0.003865,4000000,guided,1,13
0.003875,4000000,guided,1,14
0.003936,4000000,guided,1,15
0.003888,4000000,guided,1,16
0.003623,4000000,guided,1,17
0.003861,4000000,guided,1,18
0.003904,4000000,guided,1,19
0.003836,4000000,guided,1,20
0.003853,4000000,guided,10,1
0.003456,4000000,guided,10,2
0.003575,4000000,guided,10,3
0.003845,4000000,guided,10,4
0.003587,4000000,guided,10,5
0.003654,4000000,guided,10,6
0.003927,4000000,guided,10,7
0.003872,4000000,guided,10,8
0.003931,4000000,guided,10,9
0.003786,4000000,guided,10,10
0.003444,4000000,guided,10,11
0.003453,4000000,guided,10,12
0.003886,4000000,guided,10,13
0.003632,4000000,guided,10,14
0.003492,4000000,guided,10,15
0.003442,4000000,guided,10,16
0.003955,4000000,guided,10,17
0.003729,4000000,guided,10,18
0.003825,4000000,guided,10,19
0.003916,4000000,guided,10,20
0.003450,4000000,guided,100,1
0.003455,4000000,guided,100,2
0.003853,4000000,guided,100,3
0.003942,4000000,guided,100,4
0.003861,4000000,guided,100,5
0.003892,4000000,guided,100,6
0.003444,4000000,guided,100,7
0.003817,4000000,guided,100,8
0.003627,4000000,guided,100,9
0.003939,4000000,guided,100,10
0.003866,4000000,guided,100,11
0.003541,4000000,guided,100,12
0.003896,4000000,guided,100,13
0.003683,4000000,guided,100,14
0.003850,4000000,guided,100,15
0.003513,4000000,guided,100,16
0.003461,4000000,guided,100,17
0.003875,4000000,guided,100,18
0.003724,4000000,guided,100,19
0.003906,4000000,guided,100,20
0.031108,40000000,static,-1,1
0.030247,40000000,static,-1,2
0.030799,40000000,static,-1,3
0.030333,40000000,static,-1,4
0.031481,40000000,static,-1,5
0.030451,40000000,static,-1,6
0.030903,40000000,static,-1,7
0.034846,40000000,static,-1,8
0.030494,40000000,static,-1,9
0.031193,40000000,static,-1,10
0.031702,40000000,static,-1,11
0.030574,40000000,static,-1,12
0.030251,40000000,static,-1,13
0.030835,40000000,static,-1,14
0.030328,40000000,static,-1,15
0.030384,40000000,static,-1,16
0.030883,40000000,static,-1,17
0.030767,40000000,static,-1,18
0.031402,40000000,static,-1,19
0.031246,40000000,static,-1,20
0.039303,40000000,static,1,1
0.038848,40000000,static,1,2
0.038697,40000000,static,1,3
0.038787,40000000,static,1,4
0.038317,40000000,static,1,5
0.039142,40000000,static,1,6
0.038774,40000000,static,1,7
0.038969,40000000,static,1,8
0.038606,40000000,static,1,9
0.039306,40000000,static,1,10
0.039865,40000000,static,1,11
0.039104,40000000,static,1,12
0.039030,40000000,static,1,13
0.038539,40000000,static,1,14
0.038916,40000000,static,1,15
0.039302,40000000,static,1,16
0.040489,40000000,static,1,17
0.038257,40000000,static,1,18
0.038434,40000000,static,1,19
0.039643,40000000,static,1,20
0.038143,40000000,static,10,1
0.038423,40000000,static,10,2
0.038118,40000000,static,10,3
0.037961,40000000,static,10,4
0.037222,40000000,static,10,5
0.038409,40000000,static,10,6
0.038080,40000000,static,10,7
0.037087,40000000,static,10,8
0.038225,40000000,static,10,9
0.038027,40000000,static,10,10
0.037876,40000000,static,10,11
0.037799,40000000,static,10,12
0.038129,40000000,static,10,13
0.038317,40000000,static,10,14
0.038542,40000000,static,10,15
0.037048,40000000,static,10,16
0.037790,40000000,static,10,17
0.037632,40000000,static,10,18
0.038120,40000000,static,10,19
0.037864,40000000,static,10,20
0.034212,40000000,static,100,1
0.034202,40000000,static,100,2
0.034687,40000000,static,100,3
0.034594,40000000,static,100,4
0.035238,40000000,static,100,5
0.034932,40000000,static,100,6
0.035229,40000000,static,100,7
0.035111,40000000,static,100,8
0.034222,40000000,static,100,9
0.035308,40000000,static,100,10
0.034383,40000000,static,100,11
0.035002,40000000,static,100,12
0.035605,40000000,static,100,13
0.034273,40000000,static,100,14
0.034770,40000000,static,100,15
0.035536,40000000,static,100,16
0.034298,40000000,static,100,17
0.034317,40000000,static,100,18
0.034431,40000000,static,100,19
0.035104,40000000,static,100,20
0.424557,40000000,dynamic,-1,1
0.426868,40000000,dynamic,-1,2
0.430530,40000000,dynamic,-1,3
0.460057,40000000,dynamic,-1,4
0.458959,40000000,dynamic,-1,5
0.479105,40000000,dynamic,-1,6
0.479203,40000000,dynamic,-1,7
0.428843,40000000,dynamic,-1,8
0.425391,40000000,dynamic,-1,9
0.436976,40000000,dynamic,-1,10
0.436555,40000000,dynamic,-1,11
0.437441,40000000,dynamic,-1,12
0.436158,40000000,dynamic,-1,13
0.418657,40000000,dynamic,-1,14
0.426594,40000000,dynamic,-1,15
0.424826,40000000,dynamic,-1,16
0.423997,40000000,dynamic,-1,17
0.371239,40000000,dynamic,-1,18
0.416937,40000000,dynamic,-1,19
0.380203,40000000,dynamic,-1,20
0.417551,40000000,dynamic,1,1
0.369693,40000000,dynamic,1,2
0.368853,40000000,dynamic,1,3
0.368555,40000000,dynamic,1,4
0.373875,40000000,dynamic,1,5
0.371057,40000000,dynamic,1,6
0.369672,40000000,dynamic,1,7
0.365185,40000000,dynamic,1,8
